"config","target","emd","target_label"
1,5,68.4384384155273,"Target: 5%"
2,5,63.3616409301758,"Target: 5%"
1,10,56.9387054443359,"Target: 10%"
2,10,42.8258438110352,"Target: 10%"
1,15,40.2532234191895,"Target: 15%"
2,15,33.7141418457031,"Target: 15%"
1,20,32.4574508666992,"Target: 20%"
2,20,28.4823589324951,"Target: 20%"
1,25,24.7331924438477,"Target: 25%"
2,25,23.9853534698486,"Target: 25%"
1,30,21.2212219238281,"Target: 30%"
2,30,16.8183650970459,"Target: 30%"
1,35,19.6299095153809,"Target: 35%"
2,35,10.7521877288818,"Target: 35%"
1,40,17.1279964447021,"Target: 40%"
2,40,7.37496900558472,"Target: 40%"
1,45,14.317928314209,"Target: 45%"
2,45,5.25954055786133,"Target: 45%"
1,50,13.4526834487915,"Target: 50%"
2,50,4.34999084472656,"Target: 50%"
1,55,12.6206302642822,"Target: 55%"
2,55,3.40309000015259,"Target: 55%"
1,60,11.1403245925903,"Target: 60%"
2,60,2.75019025802612,"Target: 60%"
1,65,9.87110137939453,"Target: 65%"
2,65,2.37028861045837,"Target: 65%"
1,70,9.18226146697998,"Target: 70%"
2,70,2.53336524963379,"Target: 70%"
1,75,9.07731819152832,"Target: 75%"
2,75,2.62562322616577,"Target: 75%"
