"config","target","emd","target_label"
1,5,0,"Target: 5%"
2,5,0,"Target: 5%"
3,5,0,"Target: 5%"
4,5,0,"Target: 5%"
5,5,0,"Target: 5%"
6,5,0,"Target: 5%"
7,5,0,"Target: 5%"
8,5,0,"Target: 5%"
9,5,0,"Target: 5%"
10,5,0,"Target: 5%"
11,5,0,"Target: 5%"
12,5,0,"Target: 5%"
13,5,0,"Target: 5%"
14,5,0,"Target: 5%"
15,5,0,"Target: 5%"
16,5,0,"Target: 5%"
17,5,0,"Target: 5%"
18,5,0,"Target: 5%"
19,5,0,"Target: 5%"
20,5,0,"Target: 5%"
21,5,0,"Target: 5%"
22,5,0,"Target: 5%"
23,5,0,"Target: 5%"
24,5,0,"Target: 5%"
25,5,0,"Target: 5%"
26,5,0,"Target: 5%"
27,5,0,"Target: 5%"
28,5,0,"Target: 5%"
29,5,0,"Target: 5%"
30,5,0,"Target: 5%"
1,10,0,"Target: 10%"
2,10,0,"Target: 10%"
3,10,0,"Target: 10%"
4,10,0,"Target: 10%"
5,10,0,"Target: 10%"
6,10,0,"Target: 10%"
7,10,0,"Target: 10%"
8,10,0,"Target: 10%"
9,10,0,"Target: 10%"
10,10,0,"Target: 10%"
11,10,0,"Target: 10%"
12,10,0,"Target: 10%"
13,10,0,"Target: 10%"
14,10,0,"Target: 10%"
15,10,0,"Target: 10%"
16,10,0,"Target: 10%"
17,10,0,"Target: 10%"
18,10,0,"Target: 10%"
19,10,0,"Target: 10%"
20,10,0,"Target: 10%"
21,10,0,"Target: 10%"
22,10,0,"Target: 10%"
23,10,0,"Target: 10%"
24,10,0,"Target: 10%"
25,10,0,"Target: 10%"
26,10,0,"Target: 10%"
27,10,0,"Target: 10%"
28,10,0,"Target: 10%"
29,10,0,"Target: 10%"
30,10,0,"Target: 10%"
1,15,0,"Target: 15%"
2,15,0,"Target: 15%"
3,15,0,"Target: 15%"
4,15,0,"Target: 15%"
5,15,0,"Target: 15%"
6,15,0,"Target: 15%"
7,15,0,"Target: 15%"
8,15,0,"Target: 15%"
9,15,0,"Target: 15%"
10,15,0,"Target: 15%"
11,15,0,"Target: 15%"
12,15,0,"Target: 15%"
13,15,0,"Target: 15%"
14,15,0,"Target: 15%"
15,15,0,"Target: 15%"
16,15,0,"Target: 15%"
17,15,0,"Target: 15%"
18,15,0,"Target: 15%"
19,15,0,"Target: 15%"
20,15,0,"Target: 15%"
21,15,0,"Target: 15%"
22,15,0,"Target: 15%"
23,15,0,"Target: 15%"
24,15,0,"Target: 15%"
25,15,0,"Target: 15%"
26,15,0,"Target: 15%"
27,15,0,"Target: 15%"
28,15,0,"Target: 15%"
29,15,0,"Target: 15%"
30,15,0,"Target: 15%"
1,20,0,"Target: 20%"
2,20,0,"Target: 20%"
3,20,0,"Target: 20%"
4,20,0,"Target: 20%"
5,20,0,"Target: 20%"
6,20,0,"Target: 20%"
7,20,0,"Target: 20%"
8,20,0,"Target: 20%"
9,20,0,"Target: 20%"
10,20,0,"Target: 20%"
11,20,0,"Target: 20%"
12,20,0,"Target: 20%"
13,20,0,"Target: 20%"
14,20,0,"Target: 20%"
15,20,0,"Target: 20%"
16,20,0,"Target: 20%"
17,20,0,"Target: 20%"
18,20,0,"Target: 20%"
19,20,0,"Target: 20%"
20,20,0,"Target: 20%"
21,20,0,"Target: 20%"
22,20,0,"Target: 20%"
23,20,0,"Target: 20%"
24,20,0,"Target: 20%"
25,20,0,"Target: 20%"
26,20,0,"Target: 20%"
27,20,0,"Target: 20%"
28,20,0,"Target: 20%"
29,20,0,"Target: 20%"
30,20,0,"Target: 20%"
1,25,0,"Target: 25%"
2,25,0,"Target: 25%"
3,25,0,"Target: 25%"
4,25,0,"Target: 25%"
5,25,0,"Target: 25%"
6,25,0,"Target: 25%"
7,25,0,"Target: 25%"
8,25,0,"Target: 25%"
9,25,0,"Target: 25%"
10,25,0,"Target: 25%"
11,25,0,"Target: 25%"
12,25,0,"Target: 25%"
13,25,0,"Target: 25%"
14,25,0,"Target: 25%"
15,25,0,"Target: 25%"
16,25,0,"Target: 25%"
17,25,0,"Target: 25%"
18,25,0,"Target: 25%"
19,25,0,"Target: 25%"
20,25,0,"Target: 25%"
21,25,0,"Target: 25%"
22,25,0,"Target: 25%"
23,25,0,"Target: 25%"
24,25,0,"Target: 25%"
25,25,0,"Target: 25%"
26,25,0,"Target: 25%"
27,25,0,"Target: 25%"
28,25,0,"Target: 25%"
29,25,0,"Target: 25%"
30,25,0,"Target: 25%"
1,30,0,"Target: 30%"
2,30,0,"Target: 30%"
3,30,0,"Target: 30%"
4,30,0,"Target: 30%"
5,30,0,"Target: 30%"
6,30,0,"Target: 30%"
7,30,0,"Target: 30%"
8,30,0,"Target: 30%"
9,30,0,"Target: 30%"
10,30,0,"Target: 30%"
11,30,0,"Target: 30%"
12,30,0,"Target: 30%"
13,30,0,"Target: 30%"
14,30,0,"Target: 30%"
15,30,0,"Target: 30%"
16,30,0,"Target: 30%"
17,30,0,"Target: 30%"
18,30,0,"Target: 30%"
19,30,0,"Target: 30%"
20,30,0,"Target: 30%"
21,30,0,"Target: 30%"
22,30,0,"Target: 30%"
23,30,0,"Target: 30%"
24,30,0,"Target: 30%"
25,30,0,"Target: 30%"
26,30,0,"Target: 30%"
27,30,0,"Target: 30%"
28,30,0,"Target: 30%"
29,30,0,"Target: 30%"
30,30,0,"Target: 30%"
1,35,0,"Target: 35%"
2,35,0,"Target: 35%"
3,35,0,"Target: 35%"
4,35,0,"Target: 35%"
5,35,0,"Target: 35%"
6,35,0,"Target: 35%"
7,35,0,"Target: 35%"
8,35,0,"Target: 35%"
9,35,0,"Target: 35%"
10,35,0,"Target: 35%"
11,35,0,"Target: 35%"
12,35,0,"Target: 35%"
13,35,0,"Target: 35%"
14,35,0,"Target: 35%"
15,35,0,"Target: 35%"
16,35,0,"Target: 35%"
17,35,0,"Target: 35%"
18,35,0,"Target: 35%"
19,35,0,"Target: 35%"
20,35,0,"Target: 35%"
21,35,0,"Target: 35%"
22,35,0,"Target: 35%"
23,35,0,"Target: 35%"
24,35,0,"Target: 35%"
25,35,0,"Target: 35%"
26,35,0,"Target: 35%"
27,35,0,"Target: 35%"
