"value","TonPixel_2016","TonPixel_2017","TonPixel_2018","TonPixel_2019","TonPixel_2020"
0,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA
14,NA,NA,NA,0.013343690598,0.013343690598
21,0.518098154432833,0.459993688515132,0.489045921473982,0.503572037953407,0.532624270912258
22,0.453941139982038,0.466046237048226,0.514466625312976,0.526571722379164,0.538676819445352
23,0.526571722379164,0.514466625312976,0.574992110643915,0.538676819445352,0.550781916511539
24,0.568939562110821,0.484203882647507,0.544729367978445,0.526571722379164,0.611307401842478
25,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA
28,0.284673082167422,0.24351552811912,0.288102878338114,0.315541247703649,0.349839209410567
31,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA
41,9.20714651262,8.71787785736,9.00699115365,8.6733988887,9.00699115365
42,0.213499049568,0.1790278488565,0.1901475910215,0.2635378893105,0.2679857861765
43,4.78148913095,4.837087841775,5.00388397425,4.725890420125,5.00388397425
44,NA,NA,NA,NA,NA
49,9.5629782619,8.061813069625,9.89657052685,9.1181885753,8.895793732
53,0.250317751390867,0.193205520116875,0.245163839188142,0.211275101135,0.277993554125
56,0.1830309560359,0.2195037103371,0.22183885619175,0.2261755556361,0.20627121716075
57,0.0122317163815,0.01167572927325,0.01167572927325,NA,NA
59,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA
121,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA
131,NA,NA,NA,NA,NA
142,NA,NA,NA,NA,NA
152,NA,NA,NA,NA,NA
176,NA,NA,NA,NA,NA
190,NA,NA,NA,NA,NA
195,NA,NA,NA,NA,NA
205,NA,NA,NA,NA,NA
206,NA,NA,NA,NA,NA
219,NA,NA,NA,NA,NA
225,0.568939562110821,0.484203882647507,0.544729367978445,0.526571722379164,0.611307401842478
227,NA,NA,NA,NA,NA
229,NA,NA,NA,NA,NA
237,0.518098154432833,0.459993688515132,0.489045921473982,0.503572037953407,0.532624270912258
246,NA,NA,NA,NA,NA
247,NA,NA,NA,NA,NA
