"value","AUMPixel_2016","AUMPixel_2017","AUMPixel_2018","AUMPixel_2019","AUMPixel_2020"
0,NA,NA,NA,NA,NA
1,1.77360000514296,1.91511064385117,2.00945106965665,1.93397872901227,1.87737447352898
4,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA
36,1.6341573085684,1.485597553244,1.5598774309062,1.6341573085684,1.6712972473995
37,0.8170786542842,0.8913585319464,0.7799387154531,0.8542185931153,0.9284984707775
41,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA
121,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA
131,NA,NA,NA,NA,NA
142,NA,NA,NA,NA,NA
152,0.191734934215554,0.189564569040111,0.17785388207743,0.167268999510567,0.156231473939199
176,0.227373800580797,0.214204597208369,0.186581767702739,0.207117058819534,0.163941879984091
190,NA,NA,NA,NA,NA
195,NA,NA,NA,NA,NA
205,NA,NA,NA,NA,NA
206,NA,NA,NA,NA,NA
219,NA,NA,NA,NA,NA
225,1.77360000514296,1.91511064385117,2.00945106965665,1.93397872901227,1.87737447352898
227,NA,NA,NA,NA,NA
229,NA,NA,NA,NA,NA
237,1.77360000514296,1.91511064385117,2.00945106965665,1.93397872901227,1.87737447352898
246,NA,NA,NA,NA,NA
247,NA,NA,NA,NA,NA
