"lulc","LULC_name","HABITAT","agri","uhd","ldr","pri_roads","sec_roads","trails"
0,"NaN",0,0,0,0,0,0,0
1,"Cropland",0.2,0,0.5,0.4,0.5,0.4,0.4
2,"Pastureland",0.616539722507893,0.326466147472383,0.592486173053833,0.443632471885922,0.584852345753521,0.435998644585609,0.382859924556931
3,"Rangeland",1,0.66639518494426,0.76639518494426,0.56639518494426,0.701651988877018,0.501651988877018,0.4
4,"Forestland",1,0.698743739217518,0.798743739217518,0.598743739217518,0.788865900222495,0.588865900222495,0.4
5,"Woodland",0.916348716605925,0.62751330909073,0.759660682627613,0.571326876571891,0.74947289298494,0.561139086929219,0.393547821226563
6,"Urban and highly developed areas",0,0,0,0,0,0,0
7,"Water",0,0,0,0,0,0,0
10,"Other areas",0.71679026670744,0.456758644123114,0.618608505406205,0.465570804561705,0.585087029535422,0.432049328690923,0.338340893365702
12,"Transportation",0.193770384407713,0.11311105268231,0.192600609945189,0.146332468210883,0.180723658201979,0.134455516467674,0.117583166311157
1101,"Cropland within LDR",0.156367543446058,0,0.390918858615146,0.312735086892117,0.390918858615146,0.312735086892117,0.312735086892117
1102,"Pastureland within LDR",0.196949211951499,0.0492971885655733,0.350694772962334,0.276092097671833,0.349141445767258,0.274538770476756,0.26658146024834
1103,"Rangeland within LDR",0.697973046990174,0.458868887512101,0.584760133401744,0.438153781354881,0.532162400033788,0.385556047986925,0.31658517958982
1104,"Forestland within LDR",0.834991661939281,0.584494163357497,0.667993329551425,0.500994997163569,0.658605579935614,0.491607247547758,0.333996664775712
1105,"Woodland within LDR",0.73570118044373,0.505797823891262,0.60300709101396,0.452911961290424,0.597589786016844,0.447494656293307,0.310039904896375
1106,"UHD areas within LDR",0,0,0,0,0,0,0
1107,"Water within LDR",0,0,0,0,0,0,0
1110,"Other areas within LDR",0.465517197536679,0.272070896681772,0.47342654326741,0.361884207459634,0.462554430976407,0.351012095168632,0.284547659283683
1112,"Transportation within LDR",0.0262523402707914,0.0104018706733324,0.0403691647560283,0.0317009391949179,0.0388831832312665,0.0302149576701561,0.0287289761453944
