"config","target","emd","target_label"
1,5,8.14147090911865,"Target: 5%"
2,5,82.7430953979492,"Target: 5%"
1,10,21.4333610534668,"Target: 10%"
2,10,81.8760757446289,"Target: 10%"
1,15,28.7191638946533,"Target: 15%"
2,15,68.2103424072266,"Target: 15%"
1,20,28.5794582366943,"Target: 20%"
2,20,62.9311752319336,"Target: 20%"
1,25,26.3304843902588,"Target: 25%"
2,25,57.8717002868652,"Target: 25%"
1,30,23.5373363494873,"Target: 30%"
2,30,53.7223587036133,"Target: 30%"
1,35,20.3312492370605,"Target: 35%"
2,35,51.7694473266602,"Target: 35%"
1,40,17.4665660858154,"Target: 40%"
2,40,50.456413269043,"Target: 40%"
1,45,15.1722297668457,"Target: 45%"
2,45,46.8963012695312,"Target: 45%"
1,50,13.1263151168823,"Target: 50%"
2,50,42.7673759460449,"Target: 50%"
1,55,12.6681327819824,"Target: 55%"
2,55,38.1289367675781,"Target: 55%"
1,60,12.8551797866821,"Target: 60%"
2,60,34.299674987793,"Target: 60%"
1,65,12.3099060058594,"Target: 65%"
2,65,29.7215251922607,"Target: 65%"
1,70,12.4819049835205,"Target: 70%"
2,70,26.4660472869873,"Target: 70%"
1,75,12.7444162368774,"Target: 75%"
2,75,23.2869148254395,"Target: 75%"
