category,area_km2,Cropland,Pastureland,Rangeland,Forestland,Federal,Private,State,PAL,Other easements,Corn,Barley,SpringWheat,WinterWheat,Alfalfa,OtherHay/NonAlfalfa,Sugarbeets,DryBeans,Potatoes,Fallow/IdleCropland,Triticale,SolutionCost,PercCostReduction,PercCostAddition,SolutionSOC,PercSOCReduction,PercSOCAddition,SolutionCStor,PercCStorReduction,PercCStorAddition,SolutionCropProv,PercCropProvReduction,PercCropProvAddition,SolutionLvstckCropProv,PercLvstckCropProvReduction,PercLvstckCropProvAddition,SolutionPVR,PercPVRReduction,PercPVRAddition
all_layers,33677,9.3,2.6,79.1,5.9,59.1,32.6,6.6,0.1,0.1,1,1.3,0.9,0.8,3.8,0.3,0.8,0.2,1.1,0.6,0.1,9642.601986,-0,NA,410565259.94123906,-0,NA,284910116.4323809,-0,NA,23501438,-0,NA,38624590,-0,NA,3286.721243135631,-0,NA
no_food,34244,0.7,1.3,85.8,9.1,74.7,17.5,5.8,0,0.1,0.1,0.1,0,0.1,0.5,0.1,0,0,0,0.1,0,7476.065946,-22.468375684753685,NA,410564848.0860762,-1.003141773168798e-4,NA,306419095.2594377,7.549391048794715,NA,799119,-96.59970168633937,NA,28347322,-26.608096034158553,NA,1126.2492301017046,-65.73335105756554,NA
no_climmit,33517,9.1,2.7,80.3,5,58.8,32.8,6.7,0.1,0.1,1,1.2,0.9,0.8,3.6,0.3,0.8,0.1,1.1,0.6,0.1,9429.616711,-2.208794631461823,NA,372190344.69967467,-9.346849084858444,NA,280981765.9009588,-1.3788034558451603,NA,23479755,-0.09226243943030209,NA,38621123,-0.008976147060719608,NA,3286.703069239855,-5.529491073886563e-4,NA
All Solutions,24684,0.8,1.6,88.6,6.3,69.4,21.6,7.2,0,0.2,0.1,0.1,0,0.1,0.5,0.1,0,0,0,0.1,0,4543.277069,NA,0,273016304.2539832,NA,0,214880293.50364843,NA,0,696559,NA,0,21758985,NA,0,1095.6426611468196,NA,0
All-NCP and No C Stock Protection,6097,42.9,7,45.5,0.4,10.8,82.1,6.1,0.3,0.1,4.6,5.7,4.2,3.7,15.8,1,3.6,0.7,5.1,2.5,0.3,3967.672145,NA,87.33062247232274,81117112.79321289,NA,29.711453685839505,43540417.299936414,NA,20.262638602174633,21139425,NA,3034.8362450273416,14013383,NA,64.4027421315838,2013.5327994301915,NA,183.7764145951206
Only No Food,5796,0.2,0.4,76.2,18.7,88.5,6.5,2.4,0,0,0,0,0,0,0.2,0,0,0,0,0.1,0,1934.537244,NA,42.58021720048437,82831509.42163086,NA,30.339400296245266,56864025.97390747,NA,26.46311816068977,22170,NA,3.182788536218755,3699101,NA,17.000338021281785,6.819523319602013,NA,0.6224222149641337
All-NCP and No Food,2451,1,0.8,77,16.2,85.4,9.3,2.8,0,0.1,0.1,0.2,0.1,0.1,0.9,0.1,0,0,0.1,0.1,0,723.512843,NA,15.924911292263518,46019512.98876953,NA,16.85595778410297,23390849.360851765,NA,10.885525601003804,77681,NA,11.152106282454179,1731939,NA,7.959649772266491,23.668253742158413,NA,2.1602165178001216
Only No C Stock Protection,1423,12.1,5.2,78.4,1.1,49.2,43.2,6.3,0.2,0,1.2,1.7,1.6,1.4,3.7,0.2,1.2,0.2,1.7,1,0.1,643.928707,NA,14.173221162180457,9359406.230785966,NA,3.4281491929064587,11277128.676343918,NA,5.248098135231021,1641062,NA,235.5955489771864,1691458,NA,7.773607086911453,177.40881676971912,NA,16.192215131895615
No Food and No C Stock Protection,1313,0,0.2,91.9,5.3,92.4,3.5,1.7,NA,NA,0,0,0,0,0,0,0,0,0,0.1,0,274.73879,NA,6.047150235996316,8697521.42169261,NA,3.1857150236717833,11283926.421030045,NA,5.251261638303029,2709,NA,0.3889117791888411,1157297,NA,5.318708570275681,0.11879189312458038,NA,0.010842211364811205
Only All-NCP,445,52.6,5.6,34.2,1.4,5.9,87.8,3.2,0.8,0.2,5,9,5.8,3.7,19.9,2.1,3.5,0.7,6,2.4,0.2,408.139929,NA,8.983381880555964,10412329.905273438,NA,3.8138124877651975,3098556.267944336,NA,1.4419918259706426,1587773,NA,227.9452278988571,1120283,NA,5.148599532560917,153.87752881646156,NA,14.044499568444744
No Solutions,65966,16.9,3.2,59.4,12.6,55.5,37.2,5,0.4,0.2,2.4,2.7,1.9,1.9,7.5,0.5,0.8,0.5,1.5,1.4,0.1,98462.345563,NA,NA,855958988.3325374,NA,NA,582445203.5007082,NA,NA,53065384,NA,NA,83544678,NA,NA,7483.81822886318,NA,NA
